"last_name, first_name",player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_game,r_run,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,sprint_speed
"Busch, Michael",683737,2025,27,524,592,137,73,25,5,34,139,56,0.261,0.523,0.343,0.866,90,0,4,155,78,0.266,0.541,0.369,0.379,92.2,17.0,41.1,17.1,47.3,26.5
"Happ, Ian",664023,2025,30,569,663,138,83,32,0,23,151,87,0.243,0.42,0.342,0.762,79,3,6,150,87,0.26,0.447,0.333,0.352,90.0,16.1,35.7,10.4,44.4,27.4
"Kelly, Carson",608348,2025,30,369,421,92,61,13,1,17,80,45,0.249,0.428,0.333,0.761,50,0,2,111,48,0.239,0.403,0.332,0.321,88.8,16.4,34.8,9.6,40.3,26.0
"Turner, Justin",457759,2025,40,169,191,37,27,7,0,3,37,17,0.219,0.314,0.288,0.602,18,0,2,80,14,0.236,0.351,0.268,0.294,88.3,17.9,38.2,3.7,30.9,25.3
"Swanson, Dansby",621020,2025,31,590,645,144,93,24,3,24,168,47,0.244,0.417,0.3,0.717,77,3,20,159,84,0.27,0.476,0.31,0.347,90.5,13.3,36.9,11.7,47.8,28.5
"Ballesteros, Moisés",694208,2025,21,57,66,17,12,2,1,2,12,9,0.298,0.474,0.394,0.868,11,0,0,20,12,0.27,0.408,0.374,0.34,89.1,0.9,31.1,6.7,33.3,26.0
"Hoerner, Nico",663538,2025,28,599,649,178,138,29,4,7,49,39,0.297,0.394,0.345,0.739,61,6,29,156,89,0.292,0.383,0.324,0.319,86.7,12.5,36.1,2.3,30.3,28.6
"McGuire, Reese",624512,2025,30,133,140,30,19,2,0,9,27,4,0.226,0.444,0.245,0.689,24,0,0,44,17,0.21,0.353,0.29,0.253,85.1,15.7,31.2,9.2,36.7,25.9
"Shaw, Matt",807713,2025,23,393,437,89,52,21,3,13,94,38,0.226,0.394,0.295,0.689,44,5,17,126,57,0.239,0.369,0.3,0.301,84.9,13.4,35.3,6.9,29.4,29.0
"Santana, Carlos",467793,2025,39,415,474,91,69,11,0,11,91,52,0.219,0.325,0.308,0.633,54,0,7,124,49,0.217,0.336,0.284,0.289,87.6,16.7,31.1,4.9,37.8,25.6
"Suzuki, Seiya",673548,2025,30,571,651,140,74,31,3,32,164,71,0.245,0.478,0.326,0.804,103,2,5,151,75,0.251,0.482,0.343,0.351,91.3,17.9,40.2,16.6,48.7,28.4
"Castro, Willi",650489,2025,28,402,454,91,60,17,3,11,111,40,0.226,0.366,0.313,0.679,33,4,10,120,58,0.237,0.36,0.302,0.306,86.7,11.2,36.6,6.5,37.3,28.2
"Crow-Armstrong, Pete",691718,2025,23,591,647,146,74,37,4,31,155,29,0.247,0.481,0.287,0.768,95,8,35,157,91,0.247,0.47,0.323,0.322,89.5,20.0,33.9,13.0,41.6,29.5
"Amaya, Miguel",665804,2025,26,96,103,27,14,9,0,4,22,4,0.281,0.5,0.314,0.814,25,0,0,28,14,0.244,0.388,0.346,0.293,86.4,18.6,38.2,6.6,32.9,25.9
"Tucker, Kyle",663656,2025,28,500,597,133,82,25,4,22,88,87,0.266,0.464,0.377,0.841,73,3,25,136,91,0.274,0.475,0.363,0.371,90.1,17.2,37.5,10.8,40.4,26.5
"Caissie, Owen",683357,2025,22,26,27,5,3,1,0,1,11,1,0.192,0.346,0.222,0.568,4,0,0,12,4,0.2,0.306,0.245,0.235,87.3,14.0,53.3,13.3,20.0,27.9
